BRANCH,year,month,circulation_num
Greater Grand Crossing,2021,FEBRUARY,376
Auto-Renewals,2021,FEBRUARY,646073
Scottsdale,2021,FEBRUARY,896
Altgeld,2021,FEBRUARY,81
West Lawn,2021,FEBRUARY,1010
Back of the Yards,2021,FEBRUARY,647
Rogers Park,2021,FEBRUARY,6311
Garfield Ridge,2021,FEBRUARY,2449
King,2021,FEBRUARY,804
Water Works,2021,FEBRUARY,0
"Daley, Richard M.- W Humboldt",2021,FEBRUARY,1477
Humboldt Park,2021,FEBRUARY,2961
Sulzer Regional Library,2021,FEBRUARY,20954
Blackstone,2021,FEBRUARY,5296
North Austin,2021,FEBRUARY,472
West Town,2021,FEBRUARY,3003
Budlong Woods,2021,FEBRUARY,4665
Lincoln Park,2021,FEBRUARY,7667
West Englewood,2021,FEBRUARY,309
Archer Heights,2021,FEBRUARY,1587
Hegewisch,2021,FEBRUARY,775
Independence,2021,FEBRUARY,4572
Lozano,2021,FEBRUARY,1760
South Shore,2021,FEBRUARY,694
Chinatown,2021,FEBRUARY,2654
Douglass,2021,FEBRUARY,273
Logan Square,2021,FEBRUARY,7246
Roden,2021,FEBRUARY,3744
Galewood-Mont Clare,2021,FEBRUARY,0
West Belmont,2021,FEBRUARY,2234
Bucktown-Wicker Park,2021,FEBRUARY,6310
North Pulaski,2021,FEBRUARY,614
McKinley Park,2021,FEBRUARY,1592
Downloadable Media,2021,FEBRUARY,202027
West Pullman,2021,FEBRUARY,344
Beverly,2021,FEBRUARY,2245
Legler Regional,2021,FEBRUARY,234
Toman,2021,FEBRUARY,1562
Austin,2021,FEBRUARY,626
Wrightwood-Ashburn,2021,FEBRUARY,0
Jefferson Park,2021,FEBRUARY,3332
Mayfair,2021,FEBRUARY,1917
South Chicago,2021,FEBRUARY,291
Clearing,2021,FEBRUARY,1262
Merlo,2021,FEBRUARY,7031
Uptown,2021,FEBRUARY,5496
Chicago Lawn,2021,FEBRUARY,902
Harold Washington Library Center,2021,FEBRUARY,18837
Brighton Park,2021,FEBRUARY,1090
West Chicago Avenue,2021,FEBRUARY,173
Little Village,2021,FEBRUARY,924
Lincoln Belmont,2021,FEBRUARY,8912
Gage Park,2021,FEBRUARY,0
Northtown,2021,FEBRUARY,8239
Dunning,2021,FEBRUARY,2701
Bezazian,2021,FEBRUARY,1265
West Loop,2021,FEBRUARY,3130
Pullman,2021,FEBRUARY,288
Patron Initiated renewals (automated phone),2021,FEBRUARY,691
Jeffery Manor,2021,FEBRUARY,178
Hall,2021,FEBRUARY,162
Mount Greenwood,2021,FEBRUARY,2750
Coleman,2021,FEBRUARY,716
Austin-Irving,2021,FEBRUARY,4232
Woodson Regional Library,2021,FEBRUARY,1681
Thurgood Marshall,2021,FEBRUARY,659
Chicago Bee,2021,FEBRUARY,582
Vodak-East Side,2021,FEBRUARY,1109
Sherman Park,2021,FEBRUARY,199
Patron Initiated renewals (online),2021,FEBRUARY,29852
West Chicago Avenue,2022,FEBRUARY,262
"Whitney M. Young, Jr.",2022,FEBRUARY,579
Downloadable Media,2022,FEBRUARY,192686
Woodson Regional Library,2022,FEBRUARY,1810
Beverly,2022,FEBRUARY,2673
Archer Heights,2022,FEBRUARY,2131
Manning,2022,FEBRUARY,652
Blackstone,2022,FEBRUARY,6544
Portage-Cragin,2022,FEBRUARY,3247
West Belmont,2022,FEBRUARY,2710
Avalon,2022,FEBRUARY,1032
Edgewater,2022,FEBRUARY,9679
South Shore,2022,FEBRUARY,806
Legler Regional,2022,FEBRUARY,404
Hall,2022,FEBRUARY,532
Back of the Yards,2022,FEBRUARY,836
Vodak-East Side,2022,FEBRUARY,1214
Mayfair,2022,FEBRUARY,2357
Auto-Renewals,2022,FEBRUARY,445609
Dunning,2022,FEBRUARY,2868
West Pullman,2022,FEBRUARY,700
Jefferson Park,2022,FEBRUARY,4381
Sherman Park,2022,FEBRUARY,196
Altgeld,2022,FEBRUARY,139
North Austin,2022,FEBRUARY,552
