CRASH_RECORD_ID,by_year_crash_date,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,ROAD_DEFECT
7784,01/01/2019 12:00:00 AM,NO CONTROLS,NO CONTROLS,UNKNOWN
1,01/01/2020 12:00:00 AM,NO CONTROLS,MISSING,NO DEFECTS
194,01/01/2020 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2022 12:00:00 AM,NO CONTROLS,UNKNOWN,DEBRIS ON ROADWAY
2,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,UNKNOWN,WORN SURFACE
6,01/01/2020 12:00:00 AM,NO CONTROLS,UNKNOWN,OTHER
2,01/01/2019 12:00:00 AM,RAILROAD CROSSING GATE,OTHER,NO DEFECTS
1215,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,NO DEFECTS
86,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,WORN SURFACE
1,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,SHOULDER DEFECT
33,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,NOT FUNCTIONING,NO DEFECTS
3,01/01/2020 12:00:00 AM,DELINEATORS,OTHER,UNKNOWN
2,01/01/2020 12:00:00 AM,RR CROSSING SIGN,UNKNOWN,NO DEFECTS
2,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,FUNCTIONING PROPERLY,OTHER
2,01/01/2023 12:00:00 AM,YIELD,FUNCTIONING IMPROPERLY,NO DEFECTS
39,01/01/2022 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,NOT FUNCTIONING,"RUT, HOLES"
3,01/01/2021 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,NO DEFECTS
1,01/01/2019 12:00:00 AM,YIELD,MISSING,UNKNOWN
4,01/01/2021 12:00:00 AM,PEDESTRIAN CROSSING SIGN,OTHER,NO DEFECTS
188,01/01/2021 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,NO DEFECTS
66,01/01/2022 12:00:00 AM,OTHER,OTHER,UNKNOWN
7,01/01/2019 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,SHOULDER DEFECT
11,01/01/2019 12:00:00 AM,POLICE/FLAGMAN,OTHER,NO DEFECTS
2,01/01/2019 12:00:00 AM,SCHOOL ZONE,NO CONTROLS,UNKNOWN
1,01/01/2021 12:00:00 AM,OTHER,UNKNOWN,OTHER
1,01/01/2023 12:00:00 AM,OTHER RAILROAD CROSSING,OTHER,OTHER
2,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,"RUT, HOLES"
1308,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING PROPERLY,OTHER
6,01/01/2020 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2023 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,WORN SURFACE
1,01/01/2021 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,"RUT, HOLES"
1,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,WORN REFLECTIVE MATERIAL,NO DEFECTS
71,01/01/2023 12:00:00 AM,NO CONTROLS,NO CONTROLS,SHOULDER DEFECT
64,01/01/2020 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,NO DEFECTS
2,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,UNKNOWN,NO DEFECTS
289,01/01/2021 12:00:00 AM,NO CONTROLS,NO CONTROLS,WORN SURFACE
1,01/01/2022 12:00:00 AM,OTHER,FUNCTIONING IMPROPERLY,UNKNOWN
6,01/01/2019 12:00:00 AM,PEDESTRIAN CROSSING SIGN,OTHER,NO DEFECTS
1,01/01/2020 12:00:00 AM,OTHER WARNING SIGN,OTHER,WORN SURFACE
3,01/01/2021 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,OTHER
17,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,NO CONTROLS,NO DEFECTS
2,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,OTHER,"RUT, HOLES"
1,01/01/2020 12:00:00 AM,POLICE/FLAGMAN,FUNCTIONING PROPERLY,UNKNOWN
3,01/01/2020 12:00:00 AM,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,UNKNOWN
48,01/01/2020 12:00:00 AM,OTHER,OTHER,UNKNOWN
7,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,WORN REFLECTIVE MATERIAL,NO DEFECTS
9,01/01/2020 12:00:00 AM,OTHER WARNING SIGN,OTHER,NO DEFECTS
1,01/01/2020 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2023 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,"RUT, HOLES"
1141,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,NO DEFECTS
2,01/01/2023 12:00:00 AM,NO CONTROLS,FUNCTIONING IMPROPERLY,UNKNOWN
2,01/01/2023 12:00:00 AM,OTHER WARNING SIGN,WORN REFLECTIVE MATERIAL,OTHER
9,01/01/2021 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,OTHER,OTHER
2,01/01/2020 12:00:00 AM,SCHOOL ZONE,UNKNOWN,NO DEFECTS
5,01/01/2023 12:00:00 AM,OTHER,NO CONTROLS,OTHER
